unlink,2
pwrite,54
flock,2
pipe,4
semop,18
close,141
brk,798
getuid32,7865
open,79
getdents64,57
ioctl,56653
writev,109
write,1019
wait4,1
socket,8
read,438
semget,9292
ftruncate,5
lstat64,14
clone,37
fork,2
ipc_subcall,1
mprotect,6889
fstat64,163
nanosleep,11
pivot_root,22
lseek,29
getpid,8237
mkdir,1
getsockopt,8
access,79
recv,153390
pread,389
_llseek,2
getpriority,19
gettimeofday,2079
fchmod,1
dup,27
sched_yield,4
sigprocmask,2573
stat64,95
fsync,20
mmap2,618
fcntl64,190
msgget,32836
SYS_224,313
chmod,3
munmap,379
